codigo,nome,municipio,uf,regiao,grau,grau_ponderado_passageiros,degree_centrality,betweenness_centrality,closeness_centrality,score_criticidade,no_maior_componente
GNM,GUANAMBI,GUANAMBI,BA,NORDESTE,2,34839,0.012987012987012988,0.0,0.39086294416243655,0.20685224338714683,True
PTO,JUVENAL LOUREIRO CARDOSO,PATO BRANCO,PR,SUL,2,34218,0.012987012987012988,0.0,0.4074074074074074,0.2065039721642642,True
TFF,TEFÉ,TEFÉ,AM,NORTE,2,26678,0.012987012987012988,0.012987012987012988,0.3532110091743119,0.20601308807452834,True
RIA,SANTA MARIA,SANTA MARIA,RS,SUL,3,29677,0.01948051948051948,0.0,0.4052631578947368,0.20591146423476991,True
PMG,PONTA PORÃ,PONTA PORÃ,MS,CENTRO-OESTE,3,28902,0.01948051948051948,1.2126062546230612e-05,0.4041994750656168,0.20540311131842856,True
PIN,JÚLIO BÉLEM,PARINTINS,AM,NORTE,2,27862,0.012987012987012988,0.0,0.3524027459954233,0.20252494326603512,True
CMG,CORUMBÁ,CORUMBÁ,MS,CENTRO-OESTE,2,26842,0.012987012987012988,0.0,0.4031413612565445,0.20180275552188165,True
JPR,JI-PARANÁ,JI-PARANÁ,RO,NORTE,3,23381,0.01948051948051948,0.0,0.4095744680851064,0.20129422007972164,True
MII,FRANK MILOYE MILENKOVICH,MARÍLIA,SP,SUDESTE,1,28688,0.006493506493506494,0.0,0.402088772845953,0.20092615589372317,True
UNA,HOTEL TRANSAMÉRICA(AERODROMO PRIVADO),UNA,BA,NORDESTE,2,24506,0.012987012987012988,0.0,0.4010416666666667,0.20003969662939589,True
OAL,CACOAL,CACOAL,RO,NORTE,2,23393,0.012987012987012988,0.0,0.40633245382585753,0.1991396534842341,True
SJL,SÃO GABRIEL DA CACHOEIRA,SÃO GABRIEL DA CACHOEIRA,AM,NORTE,2,23358,0.012987012987012988,0.0,0.3524027459954233,0.19911066048048795,True
BVH,BRIGADEIRO CAMARÃO,VILHENA,RO,NORTE,2,23093,0.012987012987012988,0.0,0.40633245382585753,0.1988897219870667,True
RRJ,JACAREPAGUÁ,RIO DE JANEIRO,RJ,SUDESTE,2,18904,0.012987012987012988,0.0,0.42896935933147634,0.19501400219872514,True
URG,RUBEM BERTA,URUGUAIANA,RS,SUL,1,18970,0.006493506493506494,0.0,0.3228511530398323,0.19291698621281358,True
ITB,ITAITUBA,ITAITUBA,PA,NORTE,1,16710,0.006493506493506494,0.0,0.3515981735159817,0.19046071922305643,True
PHB,AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO,PARNAÍBA,PI,NORDESTE,6,8462,0.03896103896103896,0.0027738916773147847,0.44126074498567336,0.18903301428594488,True
POJ,PATOS DE MINAS,PATOS DE MINAS,MG,SUDESTE,2,12046,0.012987012987012988,0.0,0.3879093198992443,0.18628818435615876,True
DOU,DOURADOS,DOURADOS,MS,CENTRO-OESTE,1,11766,0.006493506493506494,0.0,0.385,0.18366829557184391,True
LEC,HORÁCIO DE MATTOS,LENÇÓIS,BA,NORDESTE,2,9634,0.012987012987012988,0.0,0.39086294416243655,0.1819619133330943,True
GPB,Tancredo Thomas de Faria,GUARAPUAVA,PR,SUL,2,9311,0.012987012987012988,0.0,0.4074074074074074,0.1813016172613046,True
AAX,ROMEU ZEMA,ARAXÁ,MG,SUDESTE,3,7517,0.01948051948051948,0.0003821791955227148,0.4106666666666667,0.1794494533077008,True
TMT,TROMBETAS,ORIXIMINÁ,PA,NORTE,2,7988,0.012987012987012988,0.0,0.3524027459954233,0.17833424599806583,True
MXQ,LORENZO,CAIRU,BA,NORDESTE,2,7175,0.012987012987012988,0.0,0.3452914798206278,0.176255988850018,True
EEA,AEROPORTO REGIONAL DO PLANALTO SERRANO,CORREIA PINTO,SC,SUL,2,6167,0.012987012987012988,0.0,0.4074074074074074,0.1733248446858505,True
RVD,GENERAL LEITE DE CASTRO,RIO VERDE,GO,CENTRO-OESTE,2,5586,0.012987012987012988,0.0,0.4041994750656168,0.17140908032146418,True
ERN,EIRUNEPÉ,EIRUNEPÉ,AM,NORTE,2,4883,0.012987012987012988,0.0,0.3524027459954233,0.16880499302756521,True
AUX,ARAGUAÍNA,ARAGUAÍNA,TO,NORTE,2,4532,0.012987012987012988,0.0,0.36666666666666664,0.1673607830021895,True
DIQ,BRIGADEIRO CABRAL,DIVINÓPOLIS,MG,SUDESTE,2,3284,0.012987012987012988,0.0,0.42896935933147634,0.16112510321569415,True
CAW,BARTOLOMEU LISANDRO,CAMPOS DOS GOYTACAZES,RJ,SUDESTE,1,3613,0.006493506493506494,0.0,0.402088772845953,0.16080890701480718,True
TJL,TRÊS LAGOAS,TRÊS LAGOAS,MS,CENTRO-OESTE,1,3147,0.006493506493506494,0.0,0.402088772845953,0.15813568974754455,True
MVF,DIX-SEPT ROSADO,MOSSORÓ,RN,NORDESTE,1,3092,0.006493506493506494,0.0,0.36930455635491605,0.15779437557670453,True
AIR,ARIPUANÃ,ARIPUANÃ,MT,CENTRO-OESTE,1,2498,0.006493506493506494,0.0,0.3326133909287257,0.15366489594534039,True
NSR,SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO,SÃO RAIMUNDO NONATO,PI,NORDESTE,1,2313,0.006493506493506494,0.0,0.36930455635491605,0.15217551958721923,True
MNX,MANICORÉ,MANICORÉ,AM,NORTE,2,2015,0.012987012987012988,0.0,0.3524027459954233,0.15167039819329786,True
AQA,BARTOLOMEU DE GUSMÃO,ARARAQUARA,SP,SUDESTE,1,2041,0.006493506493506494,0.0,0.402088772845953,0.14975403890840946,True
PGZ,COMANDANTE ANTONIO AMILTON BERALDO,PONTA GROSSA,PR,SUL,1,1764,0.006493506493506494,0.0,0.402088772845953,0.14693111203418047,True
IUP,PRAINHA,APUÍ,AM,NORTE,2,1558,0.012987012987012988,0.0,0.3524027459954233,0.14669237110285083,True
TFL,JUSCELINO KUBITSCHECK,TEÓFILO OTONI,MG,SUDESTE,1,1726,0.006493506493506494,0.0,0.3869346733668342,0.14650964746130912,True
IAL,SALINAS,SALINAS,MG,SUDESTE,1,1645,0.006493506493506494,0.0,0.3869346733668342,0.14557942515032044,True
CIZ,COARI,COARI,AM,NORTE,2,1307,0.012987012987012988,0.0,0.3524027459954233,0.14329303683808975,True
LHN,AERÓDROMO MUNICIPAL DE LINHARES,LINHARES,ES,SUDESTE,1,1327,0.006493506493506494,0.0,0.3869346733668342,0.14142238589024322,True
JPO,PEREGRINO FILHO,PATOS,PB,NORDESTE,2,1151,0.012987012987012988,0.0,0.3701923076923077,0.14083376103107106,True
BPG,BARRA DO GARÇAS,BARRA DO GARÇAS,MT,CENTRO-OESTE,1,1271,0.006493506493506494,0.0,0.3326133909287257,0.1405880970787549,True
PBA,AEROPORTO FÁBIO PERINI,CAIRU,BA,NORDESTE,3,938,0.01948051948051948,4.244121891180715e-05,0.34606741573033706,0.1390535598644835,True
UMU,ORLANDO DE CARVALHO,UMUARAMA,PR,SUL,2,1015,0.012987012987012988,0.0,0.3326133909287257,0.1384010818269328,True
MEU,MONTE DOURADO,ALMEIRIM,PA,NORTE,2,915,0.012987012987012988,0.0,0.3492063492063492,0.13639469006864807,True
PTQ,PORTO DE MOZ,PORTO DE MOZ,PA,NORTE,3,808,0.01948051948051948,4.244121891180715e-05,0.35,0.1361679400338903,True
OIA,OURILÂNDIA DO NORTE,OURILÂNDIA DO NORTE,PA,NORTE,3,777,0.01948051948051948,1.697648756472286e-05,0.35,0.13540283742391268,True
BVS,BREVES,BREVES,PA,NORTE,2,854,0.012987012987012988,0.0,0.3492063492063492,0.1350601928362992,True
VAG,MAJOR BRIGADEIRO TROMPOWSKY,VARGINHA,MG,SUDESTE,1,910,0.006493506493506494,0.0,0.3869346733668342,0.13412419736266123,True
LBR,LÁBREA,LÁBREA,AM,NORTE,3,666,0.01948051948051948,6.366182836771073e-05,0.35402298850574715,0.13243750803397425,True
MBZ,MAUÉS,MAUÉS,AM,NORTE,2,688,0.012987012987012988,0.0,0.3524027459954233,0.13088018452865463,True
SET,SANTA MAGALHÃES,SERRA TALHADA,PE,NORDESTE,2,643,0.012987012987012988,0.0,0.3701923076923077,0.12957226207904712,True
JAW,ARARIPINA,ARARIPINA,PE,NORDESTE,2,633,0.012987012987012988,0.0,0.3701923076923077,0.12926921327148214,True
CFB,CABO FRIO,CABO FRIO,RJ,SUDESTE,1,626,0.006493506493506494,0.0,0.3869346733668342,0.1268897192632616,True
GGJ,GUAÍRA,GUAÍRA,PR,SUL,1,550,0.006493506493506494,0.0,0.33189655172413796,0.12438760856277957,True
BAT,CHAFEI AMSEI (SBBT*),BARRETOS,SP,SUDESTE,2,490,0.012987012987012988,0.0,0.4031413612565445,0.1243195731380974,True
RPU,URUCU,COARI,AM,NORTE,1,534,0.006493506493506494,0.0,0.3515981735159817,0.1238169765230186,True
TUR,TUCURUÍ,TUCURUÍ,PA,NORTE,2,474,0.012987012987012988,0.0,0.3492063492063492,0.12367804287973884,True
JPE,AERODROMO DE PARAGOMINAS,PARAGOMINAS,PA,NORTE,2,450,0.012987012987012988,0.0,0.3492063492063492,0.12267404661475294,True
MUU,BARRA GRANDE,MARAÚ,BA,NORDESTE,2,444,0.012987012987012988,0.0,0.3452914798206278,0.12241469777939694,True
FRC,TENENTE LUND PRESETTO,FRANCA,SP,SUDESTE,2,425,0.012987012987012988,0.0,0.4031413612565445,0.12156973239760188,True
JMA,AEROPORTO ELIAS BREDER,MANHUAÇU,MG,SUDESTE,1,439,0.006493506493506494,0.0,0.3869346733668342,0.12003138624063969,True
CJZ,PEDRO VIEIRA MOREIRA,CAJAZEIRAS,PB,NORDESTE,2,385,0.012987012987012988,0.0,0.3701923076923077,0.1196603619524771,True
PYT,PARACATU,PARACATU,MG,SUDESTE,1,426,0.006493506493506494,0.0,0.3869346733668342,0.11945063335726358,True
RBB,BORBA,BORBA,AM,NORTE,2,344,0.012987012987012988,0.0,0.3524027459954233,0.11748587365598691,True
BAZ,BARCELOS,BARCELOS,AM,NORTE,1,366,0.006493506493506494,0.0,0.3515981735159817,0.11651843041073172,True
CAU,OSCAR LARANJEIRAS,CARUARU,PE,NORDESTE,2,263,0.012987012987012988,0.0,0.3701923076923077,0.11230404464865547,True
QGP,GARANHUNS,GARANHUNS,PE,NORDESTE,2,196,0.012987012987012988,0.0,0.3701923076923077,0.10663519921617214,True
TEC,TELÊMACO BORBA (SBTL*),TELÊMACO BORBA,PR,SUL,2,172,0.012987012987012988,0.0,0.3326133909287257,0.10411952561996168,True
UVI,JOSÉ CLETO,UNIÃO DA VITÓRIA,PR,SUL,1,135,0.006493506493506494,0.0,0.33189655172413796,0.09729523229698671,True
OPP,SALINÓPOLIS,SALINÓPOLIS,PA,NORTE,1,133,0.006493506493506494,0.0,0.34841628959276016,0.09700834670040064,True
BRB,BARREIRINHAS,BARREIRINHAS,MA,NORDESTE,3,78,0.01948051948051948,0.0,0.3326133909287257,0.09110534553962048,True
IRZ,SANTA IZABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO,AM,NORTE,1,78,0.006493506493506494,0.0,0.2614601018675722,0.08677634121061616,True
JCS,DOUTOR LÚCIO LIMA,CRATEÚS,CE,NORDESTE,1,27,0.006493506493506494,0.0,0.35,0.06669072177014224,True
QIG,IGUATU,IGUATU,CE,NORDESTE,1,13,0.006493506493506494,0.0,0.35,0.05326832615928893,True
JSB,WALFRIDO SAMITO DE ALMEIDA,SÃO BENEDITO,CE,NORDESTE,1,10,0.006493506493506494,0.0,0.35,0.048598361938546615,True
JSO,VIRGÍLIO TÁVORA,SOBRAL,CE,NORDESTE,1,6,0.006493506493506494,0.0,0.35,0.039845930548435604,True
